ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,4380195841,3.157,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,18673489.42022432,234.56761307053998,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
ALPA4,ALPARGATAS,PN      N1,201257220,0.196,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,18673489.42022432,10.777697487113919,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
AMER3,AMERICANAS,ON      NM,596875824,0.711,OTHERS,OTHERS,OTHERS,18673489.42022432,31.963807650944645,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
ASAI3,ASSAI,ON  ED  NM,794531367,0.603,OTHERS,OTHERS,OTHERS,18673489.42022432,42.54862865316875,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
AZUL4,AZUL,PN      N2,327741172,0.357,bens_industriais,transporte,transporte_aereo,18673489.42022432,17.5511477595098,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
B3SA3,B3,ON      NM,5987625321,3.953,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,18673489.42022432,320.6484436976789,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BBAS3,BRASIL,ON      NM,1420530937,2.343,financeiro,intermediarios_financeiros,bancos,18673489.42022432,76.07206693043102,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BBDC3,BRADESCO,ON  EB  N1,1516726535,1.123,financeiro,intermediarios_financeiros,bancos,18673489.42022432,81.22351965762272,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BBDC4,BRADESCO,PN  EB  N1,5160570290,4.606,financeiro,intermediarios_financeiros,bancos,18673489.42022432,276.35811250203966,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BBSE3,BBSEGURIDADE,ON      NM,671629692,0.848,financeiro,previdencia_e_seguros,seguradoras,18673489.42022432,35.967015959673375,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BEEF3,MINERVA,ON  ED  NM,260409710,0.17,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,18673489.42022432,13.945423061528249,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BIDI11,BANCO INTER,UNT     N2,577852934,0.435,OTHERS,OTHERS,OTHERS,18673489.42022432,30.945096601717967,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BPAC11,BTGP BANCO,UNT     N2,1301655996,1.492,OTHERS,OTHERS,OTHERS,18673489.42022432,69.70609331270681,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BPAN4,BANCO PAN,PN      N1,341124068,0.159,financeiro,intermediarios_financeiros,bancos,18673489.42022432,18.267826667175854,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BRAP4,BRADESPAR,PN      N1,251402249,0.346,materiais_basicos,mineracao,minerais_metalicos,18673489.42022432,13.463056815065256,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BRFS3,BRF SA,ON      NM,1076512610,0.726,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,18673489.42022432,57.64924732461,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BRKM5,BRASKEM,PNA ED  N1,264975728,0.529,materiais_basicos,quimicos,petroquimicos,18673489.42022432,14.189941795935477,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
BRML3,BR MALLS PAR,ON      NM,828273884,0.388,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,18673489.42022432,44.3556030349067,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
CASH3,MELIUZ,ON      NM,548153725,0.051,tecnologia_da_informacao,programas_e_servicos,programas_e_servicos,18673489.42022432,29.354648864197934,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
CCRO3,CCR SA,ON  ED  NM,1115693556,0.687,bens_industriais,transporte,exploracao_de_rodovias,18673489.42022432,59.74745966823149,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
CIEL3,CIELO,ON      NM,1144359228,0.193,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,18673489.42022432,61.282559582067286,MAI/2022 ATE AGO/2022,2022-08-20,CARTEIRA_TEORICA_B3_QUADRIMESTRE_IBOV
