ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
CSMG3,COPASA,ON      NM,368152972,0.811,utilidade_publica,agua_e_saneamento,agua_e_saneamento,238945372.1868803,1.5407411687055643,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
CPLE6,COPEL,PNB     N2,1927559001,2.15,utilidade_publica,energia_eletrica,energia_eletrica,238945372.1868803,8.066944269975009,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
CSAN3,COSAN,ON      NM,1015436580,2.125,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,238945372.1868803,4.249659956610595,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
CPFE3,CPFL ENERGIA,ON      NM,366739378,1.602,utilidade_publica,energia_eletrica,energia_eletrica,238945372.1868803,1.5348251972554272,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
DXCO3,DEXCO,ON      NM,591930094,0.507,materiais_basicos,madeira_e_papel,madeira,238945372.1868803,2.4772611772411675,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
ECOR3,ECORODOVIAS,ON      NM,651726992,0.665,bens_industriais,transporte,exploracao_de_rodovias,238945372.1868803,2.7275146031716457,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
ELET3,ELETROBRAS,ON      N1,428925536,2.066,utilidade_publica,energia_eletrica,energia_eletrica,238945372.1868803,1.7950778124488442,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
ENAT3,ENAUTA PART,ON      NM,281975871,0.515,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,238945372.1868803,1.1800850898232311,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
ENEV3,ENEVA,ON      NM,1324295030,1.982,utilidade_publica,energia_eletrica,energia_eletrica,238945372.1868803,5.542250171575881,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
EGIE3,ENGIE BRASIL,ON      NM,438729933,2.25,utilidade_publica,energia_eletrica,energia_eletrica,238945372.1868803,1.8361097726423732,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
EQTL3,EQUATORIAL,ON      NM,399635975,1.605,utilidade_publica,energia_eletrica,energia_eletrica,238945372.1868803,1.6724993304638804,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
FLRY3,FLEURY,ON      NM,674493154,1.366,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,238945372.1868803,2.8227922885757994,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
GFSA3,GAFISA,ON      NM,119513382,0.092,consumo_ciclico,construcao_civil,incorporacoes,238945372.1868803,0.5001703146881958,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
GRND3,GRENDENE,ON  EDJ NM,523799562,0.407,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,238945372.1868803,2.1921310180903353,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
NTCO3,GRUPO NATURA,ON      NM,1120537858,2.179,consumo_nao_ciclico,produtos_de_uso_pessoal_e_de_limpeza,produtos_de_uso_pessoal,238945372.1868803,4.689514794718946,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
SOMA3,GRUPO SOMA,ON      NM,969013562,0.682,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,238945372.1868803,4.055376980652004,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
GUAR3,GUARARAPES,ON      NM,160045782,0.115,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,238945372.1868803,0.669800718612903,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
HYPE3,HYPERA,ON      NM,457637285,1.823,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,238945372.1868803,1.9152381182845415,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
IGTI11,IGUATEMI S.A,UNT     N1,425124057,1.157,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,238945372.1868803,1.7791684061891289,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
MYPK3,IOCHP-MAXION,ON      NM,254435315,0.359,consumo_ciclico,automoveis_e_motocicletas,automoveis_e_motocicletas,238945372.1868803,1.0648262934383386,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
RANI3,IRANI,ON      NM,200726693,0.243,materiais_basicos,embalagens,embalagens,238945372.1868803,0.8400526495361907,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
ITSA4,ITAUSA,PN  EJB N1,1832580257,2.102,financeiro,intermediarios_financeiros,bancos,238945372.1868803,7.669452813535683,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
ITUB4,ITAUUNIBANCO,PN  EJ  N1,566881379,2.111,financeiro,intermediarios_financeiros,bancos,238945372.1868803,2.3724308774502627,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
JSLG3,JSL,ON      NM,123432177,0.145,bens_industriais,transporte,transporte_rodoviario,238945372.1868803,0.5165706950937017,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
KLBN11,KLABIN S/A,UNT     N2,836338023,2.226,materiais_basicos,madeira_e_papel,papel_e_celulose,238945372.1868803,3.500122288812926,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
LREN3,LOJAS RENNER,ON      NM,1186923945,2.291,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,238945372.1868803,4.967344352129579,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
MDIA3,M.DIASBRANCO,ON      NM,128996589,0.537,consumo_nao_ciclico,alimentos_processados,alimentos_diversos,238945372.1868803,0.5398580764272395,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
MGLU3,MAGAZ LUIZA,ON      NM,5601775553,1.334,consumo_ciclico,comercio,eletrodomesticos,238945372.1868803,23.443749932176235,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
MRFG3,MARFRIG,ON      NM,571519656,0.655,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,238945372.1868803,2.39184233102875,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
BEEF3,MINERVA,ON      NM,509922017,0.437,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,238945372.1868803,2.134052701389787,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
MTRE3,MITRE REALTY,ON      NM,101881937,0.057,consumo_ciclico,construcao_civil,incorporacoes,238945372.1868803,0.4263817125544397,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
MOVI3,MOVIDA,ON      NM,242319348,0.318,consumo_ciclico,diversos,aluguel_de_carros,238945372.1868803,1.0141202810593917,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
MRVE3,MRV,ON      NM,734889180,0.838,consumo_ciclico,construcao_civil,incorporacoes,238945372.1868803,3.0755530993303344,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
NEOE3,NEOENERGIA,ON      NM,383382486,0.876,utilidade_publica,energia_eletrica,energia_eletrica,238945372.1868803,1.6044775527192665,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
MEGA3,OMEGAENERGIA,ON      NM,653802140,0.731,utilidade_publica,energia_eletrica,energia_eletrica,238945372.1868803,2.7361992158134716,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
PCAR3,P.ACUCAR-CBD,ON      NM,311398446,0.123,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,238945372.1868803,1.3032202429786077,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
PSSA3,PORTO SEGURO,ON      NM,354604076,1.171,financeiro,previdencia_e_seguros,seguradoras,238945372.1868803,1.4840382667995866,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
RADL3,RAIADROGASIL,ON      NM,631472320,2.091,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,238945372.1868803,2.642747646546268,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
RAIZ4,RAIZEN,PN      N2,2331742827,1.004,consumo_nao_ciclico,agropecuaria,agricultura,238945372.1868803,9.758476616054038,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
RDOR3,REDE D OR,ON      NM,669535698,2.1,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,238945372.1868803,2.802045052692433,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
RAIL3,RUMO S.A.,ON      NM,771793614,2.084,bens_industriais,transporte,transporte_ferroviario,238945372.1868803,3.23000025878876,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
SAPR11,SANEPAR,UNT     N2,392791996,1.215,utilidade_publica,agua_e_saneamento,agua_e_saneamento,238945372.1868803,1.6438568883133486,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
SANB11,SANTANDER BR,UNT,590411815,2.158,financeiro,intermediarios_financeiros,bancos,238945372.1868803,2.4709070931000756,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
STBP3,SANTOS BRP,ON      NM,1674679953,1.663,bens_industriais,transporte,servicos_de_apoio_e_armazenagem,238945372.1868803,7.008631042622683,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
SIMH3,SIMPAR,ON      NM,444761733,0.445,financeiro,holdings_diversificadas,holdings_diversificadas,238945372.1868803,1.8613531993921597,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
SLCE3,SLC AGRICOLA,ON      NM,191209130,0.85,consumo_nao_ciclico,agropecuaria,agricultura,238945372.1868803,0.8002211059792129,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
SUZB3,SUZANO S.A.,ON      NM,350994221,2.226,materiais_basicos,madeira_e_papel,papel_e_celulose,238945372.1868803,1.4689308179004437,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
VIVT3,TELEF BRASIL,ON,373882182,2.326,comunicacoes,telecomunicacoes,telecomunicacoes,238945372.1868803,1.564718239060872,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
TIMS3,TIM,ON      NM,1078918072,2.193,comunicacoes,telecomunicacoes,telecomunicacoes,238945372.1868803,4.5153336184145605,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
TRPL4,TRAN PAULIST,PN      N1,737464358,2.099,utilidade_publica,energia_eletrica,energia_eletrica,238945372.1868803,3.0863303660186636,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
UGPA3,ULTRAPAR,ON      NM,555616658,1.654,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,238945372.1868803,2.3252873780934733,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
USIM5,USIMINAS,PNA     N1,1006303543,0.933,materiais_basicos,siderurgia_e_metalurgia,siderurgia,238945372.1868803,4.211437676277594,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
VAMO3,VAMOS,ON      NM,823124434,0.896,consumo_ciclico,diversos,aluguel_de_carros,238945372.1868803,3.444822665810956,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
VBBR3,VIBRA,ON      NM,706426274,1.945,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,238945372.1868803,2.956434215631097,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
WEGE3,WEG,ON      NM,479056704,1.931,bens_industriais,maquinas_e_equipamentos,motores_compressores_e_outros,238945372.1868803,2.004879607483369,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
PORT3,WILSON SONS,ON      NM,372448595,0.68,bens_industriais,transporte,servicos_de_apoio_e_armazenagem,238945372.1868803,1.558718595766342,JAN/2024 ATE ABR/2024 - 20231201,2023-12-10,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_ISEE
